"","CodeEtab","Commune","CodeMat","Matiere","TypeEtab","NomEtab","Barre","ville","etablissement","effectif_presents_serie_l","effectif_presents_serie_es","effectif_presents_serie_s","effectif_presents_serie_stg","effectif_presents_serie_sti","effectif_presents_serie_stl","effectif_presents_serie_st2s","effectif_presents_serie_musiq_danse","effectif_presents_serie_hotellerie","effectif_presents_total_series","taux_brut_de_reussite_serie_l","taux_brut_de_reussite_serie_es","taux_brut_de_reussite_serie_s","taux_brut_de_reussite_serie_stg","taux_brut_de_reussite_serie_sti","taux_brut_de_reussite_serie_stl","taux_brut_de_reussite_serie_st2s","taux_brut_de_reussite_serie_musiq_danse","taux_brut_de_reussite_serie_hotellerie","taux_brut_de_reussite_total_series","taux_reussite_attendu_acad_serie_l","taux_reussite_attendu_acad_serie_es","taux_reussite_attendu_acad_serie_s","taux_reussite_attendu_acad_serie_stg","taux_reussite_attendu_acad_serie_sti","taux_reussite_attendu_acad_serie_stl","taux_reussite_attendu_acad_serie_st2s","taux_reussite_attendu_acad_serie_musiq_danse","taux_reussite_attendu_acad_serie_hotellerie","taux_reussite_attendu_acad_total_series","taux_reussite_attendu_france_serie_l","taux_reussite_attendu_france_serie_es","taux_reussite_attendu_france_serie_s","taux_reussite_attendu_france_serie_stg","taux_reussite_attendu_france_serie_sti","taux_reussite_attendu_france_serie_stl","taux_reussite_attendu_france_serie_st2s","taux_reussite_attendu_france_serie_musiq_danse","taux_reussite_attendu_france_serie_hotellerie","taux_reussite_attendu_france_total_series","sructure_pedagogique_en_5_groupes","bachel_sort_2de_1re_term_etab","bachel_sort_terminales_etab","bachel_sort_2de_1re_term_acad","bachel_sort_terminales_acad","bachel_sort_2de_1re_term_france","bachel_sort_terminales_france","effectif_de_seconde","effectif_de_premiere","taux_acces_brut_seconde_bac","taux_acces_attendu_acad_seconde_bac","taux_acces_attendu_france_seconde_bac","taux_acces_brut_premiere_bac","taux_acces_attendu_acad_premiere_bac","taux_acces_attendu_france_premiere_bac"
"353","0782115A","LIMAY","L0202","LET MODERN","CLG","GALILEE",101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","0782115A","LIMAY","L0422","ANGLAIS","CLG","GALILEE",188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","0782132U","SAINT-GERMAIN-EN-LAYE","L0426","ESPAGNOL","LYC","JEANNE D ALBRET",220,"ST GERMAIN EN LAYE","LYCEE JEANNE D ALBRET",57,174,254,NA,NA,NA,NA,NA,NA,485,"98","97","97",".",".",".",".",".",".",97,"94","97","98",".",".",".",".",".",".","97","95","97","97",".",".",".",".",".",".","97",1,NA,NA,NA,NA,NA,NA,539,472,75,78,73,92,"93","91"
"356","0782132U","SAINT-GERMAIN-EN-LAYE","L1600","S. V. T.","LYC","JEANNE D ALBRET",230,"ST GERMAIN EN LAYE","LYCEE JEANNE D ALBRET",57,174,254,NA,NA,NA,NA,NA,NA,485,"98","97","97",".",".",".",".",".",".",97,"94","97","98",".",".",".",".",".",".","97","95","97","97",".",".",".",".",".",".","97",1,NA,NA,NA,NA,NA,NA,539,472,75,78,73,92,"93","91"
"357","0782132U","SAINT-GERMAIN-EN-LAYE","L0422","ANGLAIS","LYC","JEANNE D ALBRET",352,"ST GERMAIN EN LAYE","LYCEE JEANNE D ALBRET",57,174,254,NA,NA,NA,NA,NA,NA,485,"98","97","97",".",".",".",".",".",".",97,"94","97","98",".",".",".",".",".",".","97","95","97","97",".",".",".",".",".",".","97",1,NA,NA,NA,NA,NA,NA,539,472,75,78,73,92,"93","91"
"358","0782132U","SAINT-GERMAIN-EN-LAYE","L1300","MATHS","LYC","JEANNE D ALBRET",165,"ST GERMAIN EN LAYE","LYCEE JEANNE D ALBRET",57,174,254,NA,NA,NA,NA,NA,NA,485,"98","97","97",".",".",".",".",".",".",97,"94","97","98",".",".",".",".",".",".","97","95","97","97",".",".",".",".",".",".","97",1,NA,NA,NA,NA,NA,NA,539,472,75,78,73,92,"93","91"
"359","0782539L","MANTES-LA-JOLIE","L8012","ECO.GE.FIN","LYC","ST EXUPERY",447.2,"MANTES LA JOLIE","LYCEE ST EXUPERY",80,69,70,48,NA,NA,29,NA,NA,296,"86","84","83","90",".",".","90",".",".",86,"89","87","83","81",".",".","87",".",".","86","85","88","81","81",".",".","84",".",".","84",2,NA,NA,NA,NA,NA,NA,373,269,65,71,70,82,"86","85"
"360","0782539L","MANTES-LA-JOLIE","L1900","E. P. S","LYC","ST EXUPERY",377.2,"MANTES LA JOLIE","LYCEE ST EXUPERY",80,69,70,48,NA,NA,29,NA,NA,296,"86","84","83","90",".",".","90",".",".",86,"89","87","83","81",".",".","87",".",".","86","85","88","81","81",".",".","84",".",".","84",2,NA,NA,NA,NA,NA,NA,373,269,65,71,70,82,"86","85"
"361","0782539L","MANTES-LA-JOLIE","L7100","BIOCH.BIOL","LYC","ST EXUPERY",28,"MANTES LA JOLIE","LYCEE ST EXUPERY",80,69,70,48,NA,NA,29,NA,NA,296,"86","84","83","90",".",".","90",".",".",86,"89","87","83","81",".",".","87",".",".","86","85","88","81","81",".",".","84",".",".","84",2,NA,NA,NA,NA,NA,NA,373,269,65,71,70,82,"86","85"
"362","0782539L","MANTES-LA-JOLIE","L0201","LETT CLASS","LYC","ST EXUPERY",175,"MANTES LA JOLIE","LYCEE ST EXUPERY",80,69,70,48,NA,NA,29,NA,NA,296,"86","84","83","90",".",".","90",".",".",86,"89","87","83","81",".",".","87",".",".","86","85","88","81","81",".",".","84",".",".","84",2,NA,NA,NA,NA,NA,NA,373,269,65,71,70,82,"86","85"
"363","0782540M","MANTES-LA-JOLIE","L1300","MATHS","LYC","JEAN ROSTAND",71,"MANTES LA JOLIE","LYCEE JEAN ROSTAND (GENERAL ET TECHNO.)",NA,19,34,51,56,NA,NA,NA,NA,160,".","79","74","63","68",".",".",".",".",69,".","73","71","78","78",".",".",".",".","76",".","58","67","80","78",".",".",".",".","74",2,NA,NA,NA,NA,NA,NA,120,112,57,45,45,76,"71","67"
"364","0782540M","MANTES-LA-JOLIE","P1315","MATH.SC.PH","LYC","JEAN ROSTAND",188,"MANTES LA JOLIE","LYCEE JEAN ROSTAND (GENERAL ET TECHNO.)",NA,19,34,51,56,NA,NA,NA,NA,160,".","79","74","63","68",".",".",".",".",69,".","73","71","78","78",".",".",".",".","76",".","58","67","80","78",".",".",".",".","74",2,NA,NA,NA,NA,NA,NA,120,112,57,45,45,76,"71","67"
"365","0782540M","MANTES-LA-JOLIE","P0210","LET.HIS.GE","LYC","JEAN ROSTAND",126,"MANTES LA JOLIE","LYCEE JEAN ROSTAND (GENERAL ET TECHNO.)",NA,19,34,51,56,NA,NA,NA,NA,160,".","79","74","63","68",".",".",".",".",69,".","73","71","78","78",".",".",".",".","76",".","58","67","80","78",".",".",".",".","74",2,NA,NA,NA,NA,NA,NA,120,112,57,45,45,76,"71","67"
"366","0782540M","MANTES-LA-JOLIE","P4500","G.MECA.ENG","LYC","JEAN ROSTAND",187,"MANTES LA JOLIE","LYCEE JEAN ROSTAND (GENERAL ET TECHNO.)",NA,19,34,51,56,NA,NA,NA,NA,160,".","79","74","63","68",".",".",".",".",69,".","73","71","78","78",".",".",".",".","76",".","58","67","80","78",".",".",".",".","74",2,NA,NA,NA,NA,NA,NA,120,112,57,45,45,76,"71","67"
"367","0782540M","MANTES-LA-JOLIE","P0222","LET ANGLAI","LYC","JEAN ROSTAND",109,"MANTES LA JOLIE","LYCEE JEAN ROSTAND (GENERAL ET TECHNO.)",NA,19,34,51,56,NA,NA,NA,NA,160,".","79","74","63","68",".",".",".",".",69,".","73","71","78","78",".",".",".",".","76",".","58","67","80","78",".",".",".",".","74",2,NA,NA,NA,NA,NA,NA,120,112,57,45,45,76,"71","67"
"368","0782546U","POISSY","L1900","E. P. S","LYC","LE CORBUSIER",449,"POISSY","LYCEE LE CORBUSIER",53,79,93,56,NA,NA,NA,NA,NA,281,"79","91","91","84",".",".",".",".",".",88,"90","96","90","84",".",".",".",".",".","90","91","95","89","84",".",".",".",".",".","90",2,NA,NA,NA,NA,NA,NA,341,279,63,69,68,83,"88","86"
"369","0782546U","POISSY","L0100","PHILO","LYC","LE CORBUSIER",351.2,"POISSY","LYCEE LE CORBUSIER",53,79,93,56,NA,NA,NA,NA,NA,281,"79","91","91","84",".",".",".",".",".",88,"90","96","90","84",".",".",".",".",".","90","91","95","89","84",".",".",".",".",".","90",2,NA,NA,NA,NA,NA,NA,341,279,63,69,68,83,"88","86"
"370","0782549X","RAMBOUILLET","P0226","LET ESPAGN","LYC","LOUIS BASCAN",258,"RAMBOUILLET","LYCEE LOUIS BASCAN (GENERAL ET TECHNO.)",83,100,173,86,59,NA,36,NA,NA,537,"86","93","96","83","92",".","89",".",".",91,"88","95","93","86","90",".","88",".",".","91","90","96","94","88","92",".","90",".",".","92",2,NA,NA,NA,NA,NA,NA,619,552,80,71,72,89,"87","87"
"371","0782549X","RAMBOUILLET","E0030","EDUCATION","LYC","LOUIS BASCAN",71,"RAMBOUILLET","LYCEE LOUIS BASCAN (GENERAL ET TECHNO.)",83,100,173,86,59,NA,36,NA,NA,537,"86","93","96","83","92",".","89",".",".",91,"88","95","93","86","90",".","88",".",".","91","90","96","94","88","92",".","90",".",".","92",2,NA,NA,NA,NA,NA,NA,619,552,80,71,72,89,"87","87"
"372","0782549X","RAMBOUILLET","P0210","LET.HIS.GE","LYC","LOUIS BASCAN",58,"RAMBOUILLET","LYCEE LOUIS BASCAN (GENERAL ET TECHNO.)",83,100,173,86,59,NA,36,NA,NA,537,"86","93","96","83","92",".","89",".",".",91,"88","95","93","86","90",".","88",".",".","91","90","96","94","88","92",".","90",".",".","92",2,NA,NA,NA,NA,NA,NA,619,552,80,71,72,89,"87","87"
"373","0782549X","RAMBOUILLET","L0100","PHILO","LYC","LOUIS BASCAN",1021,"RAMBOUILLET","LYCEE LOUIS BASCAN (GENERAL ET TECHNO.)",83,100,173,86,59,NA,36,NA,NA,537,"86","93","96","83","92",".","89",".",".",91,"88","95","93","86","90",".","88",".",".","91","90","96","94","88","92",".","90",".",".","92",2,NA,NA,NA,NA,NA,NA,619,552,80,71,72,89,"87","87"
"374","0782549X","RAMBOUILLET","L1600","S. V. T.","LYC","LOUIS BASCAN",292,"RAMBOUILLET","LYCEE LOUIS BASCAN (GENERAL ET TECHNO.)",83,100,173,86,59,NA,36,NA,NA,537,"86","93","96","83","92",".","89",".",".",91,"88","95","93","86","90",".","88",".",".","91","90","96","94","88","92",".","90",".",".","92",2,NA,NA,NA,NA,NA,NA,619,552,80,71,72,89,"87","87"
"375","0782549X","RAMBOUILLET","L1300","MATHS","LYC","LOUIS BASCAN",148,"RAMBOUILLET","LYCEE LOUIS BASCAN (GENERAL ET TECHNO.)",83,100,173,86,59,NA,36,NA,NA,537,"86","93","96","83","92",".","89",".",".",91,"88","95","93","86","90",".","88",".",".","91","90","96","94","88","92",".","90",".",".","92",2,NA,NA,NA,NA,NA,NA,619,552,80,71,72,89,"87","87"
"376","0782549X","RAMBOUILLET","P8011","ECO.GE.COM","LYC","LOUIS BASCAN",1065,"RAMBOUILLET","LYCEE LOUIS BASCAN (GENERAL ET TECHNO.)",83,100,173,86,59,NA,36,NA,NA,537,"86","93","96","83","92",".","89",".",".",91,"88","95","93","86","90",".","88",".",".","91","90","96","94","88","92",".","90",".",".","92",2,NA,NA,NA,NA,NA,NA,619,552,80,71,72,89,"87","87"
"377","0782556E","SAINT-GERMAIN-EN-LAYE","P0222","LET ANGLAI","LYC","LEONARD DE VINCI",369.2,"ST GERMAIN EN LAYE","LYCEE LEONARD DE VINCI",NA,NA,21,NA,69,NA,NA,NA,NA,90,".",".","67",".","91",".",".",".",".",86,".",".","79",".","89",".",".",".",".","87",".",".","83",".","90",".",".",".",".","88",3,NA,NA,NA,NA,NA,NA,86,69,56,54,52,88,"83","82"
"378","0782556E","SAINT-GERMAIN-EN-LAYE","L1600","S. V. T.","LYC","LEONARD DE VINCI",230,"ST GERMAIN EN LAYE","LYCEE LEONARD DE VINCI",NA,NA,21,NA,69,NA,NA,NA,NA,90,".",".","67",".","91",".",".",".",".",86,".",".","79",".","89",".",".",".",".","87",".",".","83",".","90",".",".",".",".","88",3,NA,NA,NA,NA,NA,NA,86,69,56,54,52,88,"83","82"
"379","0782556E","SAINT-GERMAIN-EN-LAYE","L1000","HIST. GEO.","LYC","LEONARD DE VINCI",317.2,"ST GERMAIN EN LAYE","LYCEE LEONARD DE VINCI",NA,NA,21,NA,69,NA,NA,NA,NA,90,".",".","67",".","91",".",".",".",".",86,".",".","79",".","89",".",".",".",".","87",".",".","83",".","90",".",".",".",".","88",3,NA,NA,NA,NA,NA,NA,86,69,56,54,52,88,"83","82"
"380","0782556E","SAINT-GERMAIN-EN-LAYE","P4550","G.MEC.AUTO","LYC","LEONARD DE VINCI",1687,"ST GERMAIN EN LAYE","LYCEE LEONARD DE VINCI",NA,NA,21,NA,69,NA,NA,NA,NA,90,".",".","67",".","91",".",".",".",".",86,".",".","79",".","89",".",".",".",".","87",".",".","83",".","90",".",".",".",".","88",3,NA,NA,NA,NA,NA,NA,86,69,56,54,52,88,"83","82"
"381","0782557F","SAINT-GERMAIN-EN-LAYE","L0426","ESPAGNOL","LYC","JEAN-BAPTISTE POQUELIN",192,"ST GERMAIN EN LAYE","LYCEE JEAN-BAPTISTE POQUELIN",NA,NA,NA,133,NA,44,67,NA,NA,244,".",".",".","85",".","95","93",".",".",89,".",".",".","89",".","95","94",".",".","91",".",".",".","88",".","91","91",".",".","90",5,NA,NA,NA,NA,NA,NA,137,235,52,56,65,80,"80","86"
"382","0782557F","SAINT-GERMAIN-EN-LAYE","L0422","ANGLAIS","LYC","JEAN-BAPTISTE POQUELIN",21,"ST GERMAIN EN LAYE","LYCEE JEAN-BAPTISTE POQUELIN",NA,NA,NA,133,NA,44,67,NA,NA,244,".",".",".","85",".","95","93",".",".",89,".",".",".","89",".","95","94",".",".","91",".",".",".","88",".","91","91",".",".","90",5,NA,NA,NA,NA,NA,NA,137,235,52,56,65,80,"80","86"
"383","0782557F","SAINT-GERMAIN-EN-LAYE","L1000","HIST. GEO.","LYC","JEAN-BAPTISTE POQUELIN",244,"ST GERMAIN EN LAYE","LYCEE JEAN-BAPTISTE POQUELIN",NA,NA,NA,133,NA,44,67,NA,NA,244,".",".",".","85",".","95","93",".",".",89,".",".",".","89",".","95","94",".",".","91",".",".",".","88",".","91","91",".",".","90",5,NA,NA,NA,NA,NA,NA,137,235,52,56,65,80,"80","86"
"384","0782557F","SAINT-GERMAIN-EN-LAYE","P0210","LET.HIS.GE","LYC","JEAN-BAPTISTE POQUELIN",21,"ST GERMAIN EN LAYE","LYCEE JEAN-BAPTISTE POQUELIN",NA,NA,NA,133,NA,44,67,NA,NA,244,".",".",".","85",".","95","93",".",".",89,".",".",".","89",".","95","94",".",".","91",".",".",".","88",".","91","91",".",".","90",5,NA,NA,NA,NA,NA,NA,137,235,52,56,65,80,"80","86"
"385","0782557F","SAINT-GERMAIN-EN-LAYE","L1900","E. P. S","LYC","JEAN-BAPTISTE POQUELIN",698,"ST GERMAIN EN LAYE","LYCEE JEAN-BAPTISTE POQUELIN",NA,NA,NA,133,NA,44,67,NA,NA,244,".",".",".","85",".","95","93",".",".",89,".",".",".","89",".","95","94",".",".","91",".",".",".","88",".","91","91",".",".","90",5,NA,NA,NA,NA,NA,NA,137,235,52,56,65,80,"80","86"
"386","0782557F","SAINT-GERMAIN-EN-LAYE","L1300","MATHS","LYC","JEAN-BAPTISTE POQUELIN",161,"ST GERMAIN EN LAYE","LYCEE JEAN-BAPTISTE POQUELIN",NA,NA,NA,133,NA,44,67,NA,NA,244,".",".",".","85",".","95","93",".",".",89,".",".",".","89",".","95","94",".",".","91",".",".",".","88",".","91","91",".",".","90",5,NA,NA,NA,NA,NA,NA,137,235,52,56,65,80,"80","86"
"387","0782557F","SAINT-GERMAIN-EN-LAYE","L1500","PHY.CHIMIE","LYC","JEAN-BAPTISTE POQUELIN",225.2,"ST GERMAIN EN LAYE","LYCEE JEAN-BAPTISTE POQUELIN",NA,NA,NA,133,NA,44,67,NA,NA,244,".",".",".","85",".","95","93",".",".",89,".",".",".","89",".","95","94",".",".","91",".",".",".","88",".","91","91",".",".","90",5,NA,NA,NA,NA,NA,NA,137,235,52,56,65,80,"80","86"
"388","0782557F","SAINT-GERMAIN-EN-LAYE","P8013","ECO.GE.VEN","LYC","JEAN-BAPTISTE POQUELIN",69,"ST GERMAIN EN LAYE","LYCEE JEAN-BAPTISTE POQUELIN",NA,NA,NA,133,NA,44,67,NA,NA,244,".",".",".","85",".","95","93",".",".",89,".",".",".","89",".","95","94",".",".","91",".",".",".","88",".","91","91",".",".","90",5,NA,NA,NA,NA,NA,NA,137,235,52,56,65,80,"80","86"
"389","0782557F","SAINT-GERMAIN-EN-LAYE","P0226","LET ESPAGN","LYC","JEAN-BAPTISTE POQUELIN",71,"ST GERMAIN EN LAYE","LYCEE JEAN-BAPTISTE POQUELIN",NA,NA,NA,133,NA,44,67,NA,NA,244,".",".",".","85",".","95","93",".",".",89,".",".",".","89",".","95","94",".",".","91",".",".",".","88",".","91","91",".",".","90",5,NA,NA,NA,NA,NA,NA,137,235,52,56,65,80,"80","86"
"390","0782562L","VERSAILLES","L1500","PHY.CHIMIE","LYC","HOCHE",227,"VERSAILLES","LYCEE HOCHE",NA,90,314,NA,NA,NA,NA,NA,NA,404,".","99","100",".",".",".",".",".",".",100,".","99","99",".",".",".",".",".",".","99",".","99","99",".",".",".",".",".",".","99",1,NA,NA,NA,NA,NA,NA,393,408,92,87,87,96,"96","96"
"391","0782562L","VERSAILLES","L1300","MATHS","LYC","HOCHE",238,"VERSAILLES","LYCEE HOCHE",NA,90,314,NA,NA,NA,NA,NA,NA,404,".","99","100",".",".",".",".",".",".",100,".","99","99",".",".",".",".",".",".","99",".","99","99",".",".",".",".",".",".","99",1,NA,NA,NA,NA,NA,NA,393,408,92,87,87,96,"96","96"
"392","0782562L","VERSAILLES","E0030","EDUCATION","LYC","HOCHE",258,"VERSAILLES","LYCEE HOCHE",NA,90,314,NA,NA,NA,NA,NA,NA,404,".","99","100",".",".",".",".",".",".",100,".","99","99",".",".",".",".",".",".","99",".","99","99",".",".",".",".",".",".","99",1,NA,NA,NA,NA,NA,NA,393,408,92,87,87,96,"96","96"
"393","0782562L","VERSAILLES","L0422","ANGLAIS","LYC","HOCHE",261,"VERSAILLES","LYCEE HOCHE",NA,90,314,NA,NA,NA,NA,NA,NA,404,".","99","100",".",".",".",".",".",".",100,".","99","99",".",".",".",".",".",".","99",".","99","99",".",".",".",".",".",".","99",1,NA,NA,NA,NA,NA,NA,393,408,92,87,87,96,"96","96"
"394","0782562L","VERSAILLES","L1900","E. P. S","LYC","HOCHE",505,"VERSAILLES","LYCEE HOCHE",NA,90,314,NA,NA,NA,NA,NA,NA,404,".","99","100",".",".",".",".",".",".",100,".","99","99",".",".",".",".",".",".","99",".","99","99",".",".",".",".",".",".","99",1,NA,NA,NA,NA,NA,NA,393,408,92,87,87,96,"96","96"
"395","0782562L","VERSAILLES","L1000","HIST. GEO.","LYC","HOCHE",303,"VERSAILLES","LYCEE HOCHE",NA,90,314,NA,NA,NA,NA,NA,NA,404,".","99","100",".",".",".",".",".",".",100,".","99","99",".",".",".",".",".",".","99",".","99","99",".",".",".",".",".",".","99",1,NA,NA,NA,NA,NA,NA,393,408,92,87,87,96,"96","96"
"396","0782562L","VERSAILLES","L1600","S. V. T.","LYC","HOCHE",276,"VERSAILLES","LYCEE HOCHE",NA,90,314,NA,NA,NA,NA,NA,NA,404,".","99","100",".",".",".",".",".",".",100,".","99","99",".",".",".",".",".",".","99",".","99","99",".",".",".",".",".",".","99",1,NA,NA,NA,NA,NA,NA,393,408,92,87,87,96,"96","96"
"397","0782562L","VERSAILLES","L0201","LETT CLASS","LYC","HOCHE",334,"VERSAILLES","LYCEE HOCHE",NA,90,314,NA,NA,NA,NA,NA,NA,404,".","99","100",".",".",".",".",".",".",100,".","99","99",".",".",".",".",".",".","99",".","99","99",".",".",".",".",".",".","99",1,NA,NA,NA,NA,NA,NA,393,408,92,87,87,96,"96","96"
"398","0782563M","VERSAILLES","L0422","ANGLAIS","LYC","LA BRUYERE",395,"VERSAILLES","LYCEE LA BRUYERE",124,NA,207,NA,NA,NA,NA,12,NA,343,"100",".","99",".",".",".",".","100",".",99,"98",".","97",".",".",".",".","100(1)",".","97","98",".","96",".",".",".",".","96",".","97",2,NA,NA,NA,NA,NA,NA,411,325,72,83,81,94,"94","93"
"399","0782563M","VERSAILLES","L0080","DOC LYCEES","LYC","LA BRUYERE",193,"VERSAILLES","LYCEE LA BRUYERE",124,NA,207,NA,NA,NA,NA,12,NA,343,"100",".","99",".",".",".",".","100",".",99,"98",".","97",".",".",".",".","100(1)",".","97","98",".","96",".",".",".",".","96",".","97",2,NA,NA,NA,NA,NA,NA,411,325,72,83,81,94,"94","93"
"400","0782563M","VERSAILLES","L0429","ITALIEN","LYC","LA BRUYERE",1658,"VERSAILLES","LYCEE LA BRUYERE",124,NA,207,NA,NA,NA,NA,12,NA,343,"100",".","99",".",".",".",".","100",".",99,"98",".","97",".",".",".",".","100(1)",".","97","98",".","96",".",".",".",".","96",".","97",2,NA,NA,NA,NA,NA,NA,411,325,72,83,81,94,"94","93"
"401","0782563M","VERSAILLES","L0426","ESPAGNOL","LYC","LA BRUYERE",1666,"VERSAILLES","LYCEE LA BRUYERE",124,NA,207,NA,NA,NA,NA,12,NA,343,"100",".","99",".",".",".",".","100",".",99,"98",".","97",".",".",".",".","100(1)",".","97","98",".","96",".",".",".",".","96",".","97",2,NA,NA,NA,NA,NA,NA,411,325,72,83,81,94,"94","93"
"402","0782563M","VERSAILLES","L1800","ARTS PLAST","LYC","LA BRUYERE",59,"VERSAILLES","LYCEE LA BRUYERE",124,NA,207,NA,NA,NA,NA,12,NA,343,"100",".","99",".",".",".",".","100",".",99,"98",".","97",".",".",".",".","100(1)",".","97","98",".","96",".",".",".",".","96",".","97",2,NA,NA,NA,NA,NA,NA,411,325,72,83,81,94,"94","93"
"403","0782563M","VERSAILLES","L0201","LETT CLASS","LYC","LA BRUYERE",285,"VERSAILLES","LYCEE LA BRUYERE",124,NA,207,NA,NA,NA,NA,12,NA,343,"100",".","99",".",".",".",".","100",".",99,"98",".","97",".",".",".",".","100(1)",".","97","98",".","96",".",".",".",".","96",".","97",2,NA,NA,NA,NA,NA,NA,411,325,72,83,81,94,"94","93"
"404","0782563M","VERSAILLES","L1300","MATHS","LYC","LA BRUYERE",230,"VERSAILLES","LYCEE LA BRUYERE",124,NA,207,NA,NA,NA,NA,12,NA,343,"100",".","99",".",".",".",".","100",".",99,"98",".","97",".",".",".",".","100(1)",".","97","98",".","96",".",".",".",".","96",".","97",2,NA,NA,NA,NA,NA,NA,411,325,72,83,81,94,"94","93"
"405","0782563M","VERSAILLES","L0100","PHILO","LYC","LA BRUYERE",433,"VERSAILLES","LYCEE LA BRUYERE",124,NA,207,NA,NA,NA,NA,12,NA,343,"100",".","99",".",".",".",".","100",".",99,"98",".","97",".",".",".",".","100(1)",".","97","98",".","96",".",".",".",".","96",".","97",2,NA,NA,NA,NA,NA,NA,411,325,72,83,81,94,"94","93"
"406","0782565P","VERSAILLES","L1600","S. V. T.","LYC","JULES FERRY",289,"VERSAILLES","LYCEE JULES FERRY (GENERAL ET TECHNO.)",21,NA,96,NA,116,NA,NA,NA,NA,233,"95",".","94",".","89",".",".",".",".",91,"93",".","91",".","85",".",".",".",".","88","81",".","85",".","83",".",".",".",".","84",3,NA,NA,NA,NA,NA,NA,293,332,63,59,61,88,"78","85"
"407","0782565P","VERSAILLES","L1500","PHY.CHIMIE","LYC","JULES FERRY",180,"VERSAILLES","LYCEE JULES FERRY (GENERAL ET TECHNO.)",21,NA,96,NA,116,NA,NA,NA,NA,233,"95",".","94",".","89",".",".",".",".",91,"93",".","91",".","85",".",".",".",".","88","81",".","85",".","83",".",".",".",".","84",3,NA,NA,NA,NA,NA,NA,293,332,63,59,61,88,"78","85"
"408","0782565P","VERSAILLES","L0080","DOC LYCEES","LYC","JULES FERRY",28,"VERSAILLES","LYCEE JULES FERRY (GENERAL ET TECHNO.)",21,NA,96,NA,116,NA,NA,NA,NA,233,"95",".","94",".","89",".",".",".",".",91,"93",".","91",".","85",".",".",".",".","88","81",".","85",".","83",".",".",".",".","84",3,NA,NA,NA,NA,NA,NA,293,332,63,59,61,88,"78","85"
"409","0782565P","VERSAILLES","P5200","G.ELECTROT","LYC","JULES FERRY",1548,"VERSAILLES","LYCEE JULES FERRY (GENERAL ET TECHNO.)",21,NA,96,NA,116,NA,NA,NA,NA,233,"95",".","94",".","89",".",".",".",".",91,"93",".","91",".","85",".",".",".",".","88","81",".","85",".","83",".",".",".",".","84",3,NA,NA,NA,NA,NA,NA,293,332,63,59,61,88,"78","85"
"410","0782565P","VERSAILLES","L1414","SII.ING.ME","LYC","JULES FERRY",1569,"VERSAILLES","LYCEE JULES FERRY (GENERAL ET TECHNO.)",21,NA,96,NA,116,NA,NA,NA,NA,233,"95",".","94",".","89",".",".",".",".",91,"93",".","91",".","85",".",".",".",".","88","81",".","85",".","83",".",".",".",".","84",3,NA,NA,NA,NA,NA,NA,293,332,63,59,61,88,"78","85"
"411","0782565P","VERSAILLES","P0210","LET.HIS.GE","LYC","JULES FERRY",285,"VERSAILLES","LYCEE JULES FERRY (GENERAL ET TECHNO.)",21,NA,96,NA,116,NA,NA,NA,NA,233,"95",".","94",".","89",".",".",".",".",91,"93",".","91",".","85",".",".",".",".","88","81",".","85",".","83",".",".",".",".","84",3,NA,NA,NA,NA,NA,NA,293,332,63,59,61,88,"78","85"
"412","0782565P","VERSAILLES","P8012","ECO.GE.CPT","LYC","JULES FERRY",2015.2,"VERSAILLES","LYCEE JULES FERRY (GENERAL ET TECHNO.)",21,NA,96,NA,116,NA,NA,NA,NA,233,"95",".","94",".","89",".",".",".",".",91,"93",".","91",".","85",".",".",".",".","88","81",".","85",".","83",".",".",".",".","84",3,NA,NA,NA,NA,NA,NA,293,332,63,59,61,88,"78","85"
"413","0782565P","VERSAILLES","L1300","MATHS","LYC","JULES FERRY",123.2,"VERSAILLES","LYCEE JULES FERRY (GENERAL ET TECHNO.)",21,NA,96,NA,116,NA,NA,NA,NA,233,"95",".","94",".","89",".",".",".",".",91,"93",".","91",".","85",".",".",".",".","88","81",".","85",".","83",".",".",".",".","84",3,NA,NA,NA,NA,NA,NA,293,332,63,59,61,88,"78","85"
"414","0782565P","VERSAILLES","L0202","LET MODERN","LYC","JULES FERRY",203.2,"VERSAILLES","LYCEE JULES FERRY (GENERAL ET TECHNO.)",21,NA,96,NA,116,NA,NA,NA,NA,233,"95",".","94",".","89",".",".",".",".",91,"93",".","91",".","85",".",".",".",".","88","81",".","85",".","83",".",".",".",".","84",3,NA,NA,NA,NA,NA,NA,293,332,63,59,61,88,"78","85"
